"","End.of.fieldwork..election.date","CON","LAB","LIB.DEM","OTHER","CON.LEAD.OVER.LABOUR","Sample","Fieldwork.dates"
"340","23-05-2010","39%","32%","21%","8%","7%","1,001","21-23 May 2010"
"341","20-06-2010","39%","31%","21%","8%","8%","1,000","18-20 June 2010"
"342","25-07-2010","38%","34%","19%","8%","4%","1,009","23-25 July 2010"
"343","15-08-2010","37%","37%","18%","8%","0%","1,001","13th-15th August 2010"
"344","29-09-2010","35%","37%","18%","10%","-2%","1,005","28-29 September 2010"
"345","24-10-2010","39%","36%","16%","9%","3%","1,005","22-24 October 2010"
"346","21-11-2010","36%","38%","14%","12%","-2%","1,000","19-21 November 2010"
"347","19-12-2010","37%","39%","13%","11%","-2%","1,003","16-19 December 2010"
"348","23-01-2011","35%","39%","15%","11%","-4%","1,000","21-23 January 2011"
"349","20-02-2011","35%","38%","18%","9%","-3%","1,000","21-23 February 2011"
"350","24-03-2011","37%","36%","16%","11%","1%","1,000","23-24 March 2011"
"351","17-04-2011","35%","37%","15%","13%","-2%","1,003","15-17 April 2011"
"352","03-05-2011","36%","37%","15%","11%","-1%","1,000","2-3 May 2011"
"353","19-06-2011","37%","39%","12%","12%","-2%","1,000","17-19 June 2011"
"354","17-07-2011","37%","36%","16%","11%","1%","1,003","15th-17th July 2011"
"355","21-08-2011","37%","36%","17%","10%","1%","1,004","19th-21st August 2011"
"356","21-09-2011","37%","38%","14%","12%","-1%","1,007","20-21st September 2011"
"357","23-10-2011","35%","39%","13%","13%","-4%","1,003","21-23rd October 2011"
"358","20-11-2011","36%","38%","14%","12%","-2%","1,005","18-20th November 2011"
"359","21-12-2011","37%","36%","15%","13%","1%","1,003","20-21 December 2011"
"360","22-01-2012","40%","35%","16%","9%","5%","1,003","20-22 January 2012"
"361","19-02-2012","36%","37%","14%","13%","-1%","1,013","17-19 February 2012"
"362","18-03-2012","39%","36%","15%","10%","3%","1,000","16-18 March 2012"
"363","22-04-2012","33%","41%","15%","12%","-8%","1,000","20-22 April 2012"
"364","20-05-2012","36%","41%","11%","13%","-5%","1,002","18-20 May 2012"
"365","24-06-2012","34%","39%","14%","13%","-5%","1,002","22-24 June 2012"
"366","22-07-2012","34%","39%","14%","13%","-5%","1,004","20-22 July 2012"
"367","26-08-2012","34%","39%","15%","12%","-5%","1,006","24-26 August 2012 "
"368","23-09-2012","31%","41%","14%","14%","-10%","1,004","20-2 July 2012"
"369","22-10-2012","33%","41%","14%","12%","-8%","1,000","19-22 October 2012"
"370","18-11-2012","32%","40%","13%","15%","-8%","1,001","16-18 November 2012"
"371","23-12-2012","32%","40%","13%","16%","-8%","1,002","19-23 December 2012"
"372","20-01-2013","33%","38%","15%","14%","-5%","1,001","18-20th January 2013"
"373","10-02-2013","29%","41%","13%","16%","-12%","1,001","8-10th February 2013"
"374","10-03-2013","31%","39%","15%","15%","-8%","1,002","8th-10th March 2013"
"375","14-04-2013","32%","38%","15%","16%","-6%","1,002","12th-14th April 2013"
"376","12-05-2013","28%","34%","11%","27%","-6%","1,001","10th-12th May 2013"
"377","09-06-2013","29%","36%","12%","22%","-7%","1,002","7th-9th June 2013"
"378","ICM","","","","","","",""
"379","SOURCE","","","","","","",""
"380","http://www.icmresearch.co.uk/media-centre-voting-intentions.php","","","","","","",""
